Wall time,Step,Value
1592947206.857161,2106,-129.75
1592947207.862302,2107,-129.13999938964844
1592947214.831939,2112,-130.24000549316406
1592947219.838953,2116,-129.02000427246094
1592947225.46459,2121,-130.6300048828125
1592947228.048757,2123,-130.72999572753906
1592947229.088428,2124,-130.38999938964844
1592947241.408242,2134,-130.0399932861328
1592947242.430379,2135,-130.02000427246094
1592947247.538753,2139,-131.13999938964844
1592947251.631377,2142,-131.13999938964844
1592947255.833669,2145,-131.77000427246094
1592947256.741334,2146,-131.67999267578125
1592947260.551263,2149,-130.41000366210938
1592947261.520409,2150,-130.27000427246094
1592947263.22263,2152,-129.0
1592947269.975361,2157,-128.67999267578125
1592947270.914597,2158,-129.3300018310547
1592947279.275791,2165,-128.4499969482422
1592947280.676909,2166,-128.5800018310547
1592947285.059379,2170,-129.66000366210938
1592947287.593769,2172,-129.58999633789062
1592947290.203641,2174,-128.8800048828125
1592947295.550003,2178,-131.11000061035156
1592947308.937771,2188,-130.91000366210938
1592947310.651598,2190,-129.75999450683594
1592947313.631322,2192,-129.5
1592947315.374354,2193,-130.1999969482422
1592947320.256014,2197,-129.94000244140625
1592947324.084069,2200,-130.89999389648438
1592947337.029232,2208,-135.1300048828125
1592947341.943751,2212,-135.19000244140625
1592947358.430654,2226,-135.6199951171875
1592947363.592553,2230,-136.63999938964844
1592947366.080839,2232,-136.11000061035156
1592947372.770743,2237,-136.52000427246094
1592947373.789238,2238,-136.72000122070312
1592947376.180512,2240,-137.4499969482422
1592947378.495548,2242,-137.30999755859375
1592947379.184143,2243,-137.10000610351562
1592947381.609158,2245,-136.5500030517578
1592947384.028886,2247,-137.42999267578125
1592947385.413636,2248,-137.88999938964844
1592947392.030059,2255,-137.82000732421875
1592947394.3232,2258,-137.13999938964844
1592947398.40176,2263,-137.82000732421875
1592947411.384637,2275,-136.0399932861328
1592947415.18151,2279,-134.7899932861328
1592947419.092673,2282,-135.19000244140625
1592947429.86923,2292,-133.02999877929688
1592947436.686552,2298,-131.39999389648438
1592947437.735448,2299,-130.9600067138672
1592947439.438748,2301,-130.63999938964844
1592947442.474206,2304,-129.4499969482422
1592947444.848236,2307,-127.26000213623047
1592947445.982146,2308,-126.7699966430664
1592947446.95921,2309,-126.4800033569336
1592947457.071606,2319,-124.22000122070312
1592947457.720269,2320,-123.63999938964844
1592947459.142212,2321,-123.23999786376953
1592947460.987279,2323,-123.4800033569336
1592947471.973238,2335,-122.41000366210938
1592947472.829362,2336,-121.38999938964844
1592947473.771041,2337,-120.95999908447266
1592947474.547132,2338,-120.4800033569336
1592947482.044121,2346,-117.66000366210938
1592947490.303899,2355,-115.22000122070312
1592947506.696423,2372,-113.29000091552734
1592947521.706724,2386,-112.61000061035156
1592947525.914402,2390,-113.05999755859375
1592947526.769238,2391,-113.02999877929688
1592947528.632789,2393,-112.80000305175781
1592947536.381419,2401,-113.7300033569336
1592947538.00243,2403,-113.69000244140625
1592947541.689473,2407,-113.9000015258789
1592947550.23705,2417,-113.76000213623047
1592947557.285224,2425,-112.33000183105469
1592947558.236164,2426,-112.06999969482422
1592947567.681003,2437,-112.5
1592947574.553007,2445,-112.69000244140625
1592947580.106916,2451,-113.33000183105469
1592947581.019859,2452,-113.3499984741211
1592947583.015998,2454,-113.33999633789062
1592947584.898423,2456,-113.3499984741211
1592947590.014677,2461,-114.41999816894531
1592947607.761706,2480,-116.18000030517578
1592947614.124726,2486,-117.04000091552734
1592947615.250073,2487,-117.38999938964844
1592947625.333486,2497,-120.13999938964844
1592947627.341401,2499,-120.02999877929688
1592947630.290142,2502,-119.12000274658203
1592947631.531062,2503,-119.19999694824219
1592947632.394976,2504,-119.73999786376953
1592947641.643103,2514,-120.98999786376953
1592947642.460264,2515,-121.04000091552734
1592947645.536805,2518,-121.63999938964844
1592947650.578237,2524,-122.0999984741211
1592947654.61634,2529,-121.83999633789062
1592947656.164719,2531,-122.0
1592947657.679686,2533,-121.54000091552734
1592947659.484829,2535,-121.48999786376953
1592947667.386242,2544,-121.88999938964844
1592947670.94565,2548,-122.3499984741211
1592947674.119409,2552,-121.56999969482422
1592947675.727306,2554,-121.44999694824219
1592947678.309293,2557,-121.37000274658203
1592947686.508299,2566,-121.13999938964844
1592947687.473408,2567,-121.23999786376953
1592947691.502278,2571,-121.62000274658203
1592947696.674707,2577,-120.51000213623047
1592947699.158647,2579,-120.37000274658203
1592947714.508107,2591,-119.25
1592947715.379303,2592,-119.2300033569336
1592947716.691797,2593,-119.05999755859375
1592947717.651956,2594,-119.5
1592947722.000254,2597,-119.48999786376953
1592947727.565764,2601,-120.9800033569336
1592947734.093307,2607,-120.73999786376953
1592947734.966036,2608,-121.25
1592947738.066749,2611,-120.51000213623047
1592947745.905658,2619,-119.5
1592947752.159384,2624,-120.7300033569336
1592947756.185355,2627,-120.94999694824219
1592947759.84891,2630,-121.01000213623047
1592947760.799088,2631,-120.91000366210938
1592947767.90709,2637,-121.41999816894531
1592947769.921771,2639,-121.16999816894531
1592947776.391884,2645,-120.87999725341797
1592947779.291928,2648,-120.41000366210938
1592947782.183623,2651,-120.76000213623047
1592947783.110655,2652,-121.1500015258789
1592947787.137113,2656,-121.80999755859375
1592947805.699421,2675,-122.19000244140625
1592947809.195184,2679,-122.4000015258789
1592947810.747403,2681,-121.0199966430664
1592947815.124142,2686,-120.77999877929688
1592947821.217399,2691,-121.58999633789062
1592947836.498492,2704,-121.88999938964844
1592947842.416173,2708,-124.95999908447266
1592947846.609111,2711,-127.51000213623047
1592947870.201599,2726,-135.5800018310547
1592947881.621776,2737,-135.14999389648438
1592947882.708941,2738,-135.11000061035156
1592947885.626433,2741,-134.75999450683594
1592947891.971565,2747,-134.4600067138672
1592947900.03037,2754,-134.1999969482422
1592947901.162253,2755,-133.8699951171875
1592947902.49438,2756,-133.82000732421875
1592947904.26576,2757,-134.47000122070312
1592947905.666049,2758,-134.9199981689453
1592947907.449169,2759,-134.91000366210938
1592947916.415734,2767,-134.85000610351562
1592947948.574424,2790,-142.47000122070312
1592947949.365679,2791,-142.36000061035156
1592947950.28343,2792,-142.3699951171875
1592947957.566608,2799,-141.00999450683594
1592947969.794114,2810,-133.91000366210938
1592947972.62145,2812,-134.33999633789062
1592947991.491336,2824,-129.0500030517578
1592947993.78376,2825,-128.25999450683594
1592947998.456173,2828,-129.10000610351562
1592948001.659597,2830,-130.17999267578125
1592948003.318324,2831,-130.6300048828125
1592948005.545663,2833,-130.99000549316406
1592948031.359178,2852,-137.27999877929688
1592948038.540086,2857,-137.77000427246094
1592948043.885602,2860,-137.72000122070312
1592948047.855272,2863,-138.83999633789062
1592948059.683328,2872,-140.05999755859375
1592948060.763681,2873,-140.25
1592948067.960946,2879,-139.25999450683594
1592948069.887752,2881,-138.97000122070312
1592948070.867874,2882,-138.5500030517578
1592948078.516031,2888,-138.50999450683594
1592948082.575397,2891,-138.89999389648438
1592948089.501782,2897,-140.22999572753906
1592948091.873353,2899,-141.14999389648438
1592948095.691221,2901,-141.7100067138672
1592948099.666389,2904,-141.8800048828125
1592948113.34001,2913,-139.97999572753906
1592948119.796041,2918,-139.00999450683594
1592948123.086204,2920,-138.10000610351562
1592948124.473499,2921,-138.63999938964844
1592948125.844422,2922,-138.13999938964844
1592948140.600479,2933,-136.0800018310547
1592948154.205342,2943,-133.2100067138672
1592948165.772895,2951,-131.41000366210938
1592948190.367475,2968,-125.79000091552734
1592948201.531091,2975,-123.83999633789062
1592948202.693677,2976,-123.75
1592948206.964923,2979,-122.5999984741211
1592948219.794435,2989,-119.43000030517578
1592948230.267231,2995,-118.94000244140625
1592948235.854002,2999,-117.31999969482422
1592948244.175101,3004,-117.62999725341797
1592948247.107347,3006,-117.45999908447266
1592948249.969706,3008,-118.02999877929688
1592948253.171916,3010,-117.33999633789062
1592948256.650314,3012,-117.69999694824219
1592948262.153653,3016,-117.11000061035156
1592948263.559105,3017,-117.06999969482422
1592948267.802655,3020,-117.06999969482422
1592948277.021292,3026,-116.4800033569336
1592948280.822465,3028,-117.48999786376953
1592948285.511286,3031,-118.41000366210938
1592948297.356641,3039,-119.51000213623047
1592948300.459625,3041,-119.44999694824219
1592948301.644231,3042,-119.94000244140625
1592948303.119885,3043,-119.9800033569336
1592948313.582952,3051,-119.44000244140625
1592948330.238384,3066,-120.33999633789062
1592948332.298783,3068,-119.9000015258789
1592948334.621899,3070,-119.9800033569336
1592948336.986338,3072,-119.55999755859375
1592948339.950306,3074,-118.79000091552734
1592948353.137545,3083,-118.48999786376953
1592948359.011139,3087,-119.0999984741211
1592948376.702812,3100,-117.05999755859375
1592948380.919041,3104,-115.70999908447266
1592948408.097644,3123,-114.11000061035156
1592948426.460278,3138,-109.37000274658203
1592948427.489023,3139,-109.48999786376953
1592948433.984163,3145,-109.2699966430664
1592948435.241627,3146,-109.44000244140625
1592948437.916609,3148,-109.91999816894531
1592948442.165825,3151,-111.12000274658203
1592948449.528154,3156,-111.97000122070312
1592948453.655981,3159,-112.51000213623047
1592948455.212104,3160,-112.7300033569336
1592948457.62161,3162,-113.56999969482422
1592948480.540659,3178,-118.2699966430664
1592948489.812917,3185,-120.51000213623047
1592948494.917638,3189,-121.36000061035156
1592948503.198652,3196,-122.18000030517578
1592948504.408367,3197,-122.37000274658203
1592948511.716715,3204,-122.31999969482422
1592948514.852869,3207,-122.18000030517578
1592948545.964706,3231,-122.63999938964844
1592948549.267633,3234,-122.77999877929688
1592948560.034911,3241,-123.61000061035156
1592948563.937193,3244,-122.9800033569336
1592948565.838802,3245,-122.93000030517578
1592948568.529344,3247,-122.72000122070312
1592948569.74162,3248,-122.55000305175781
1592948579.589574,3255,-119.97000122070312
1592948582.284645,3257,-119.58999633789062
1592948600.661654,3268,-119.29000091552734
1592948606.403353,3273,-117.70999908447266
1592948623.048799,3282,-116.83000183105469
1592948625.066821,3284,-115.95999908447266
1592948628.024054,3286,-115.45999908447266
1592948634.985019,3290,-115.86000061035156
